
 Data Alignment: None
 Data Alignment Step: 0
C:\Users\Labuser\Documents\Octet experiments\2020\20200514 - AMC PCT media run3 kinetics 47-54, 200514_001.frd, 200514_002.frd, 200514_003.frd, 200514_004.frd, 200514_005.frd, 200514_006.frd, 200514_007.frd, 200514_008.frd, 200514_009.frd, 200514_010.frd, 200514_011.frd, 200514_012.frd, 200514_013.frd, 200514_014.frd, 200514_015.frd, 200514_016.frd, 
X Values, A2, B2, C2, D2, E2, F2, G2, H2, A3, B3, C3, D3, E3, F3, G3, H3, 
0.00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13.61, -0.00470686, 0.00218194, 0.00118555, 0.0093388, -0.00211958, -0.00344896, -0.00122578, -0.00643099, -0.01540178, -0.00793342, -0.00448791, -0.00854689, -0.00307689, -0.00825578, -0.00325531, -0.00038788, 
13.81, -0.00234579, -0.00022791, 0.00166359, 0.00178592, -0.00713835, -0.0027832, -0.00347504, -0.00696984, -0.0121006, -0.00949418, -0.00820983, -0.01082434, -0.00309893, -0.01291179, -0.00189026, 0.0022591, 
14.00, -0.00433193, 0.00118324, -0.00119935, 0.00514827, -0.0050919, -0.00576209, 0.00321466, -0.00625174, -0.01222661, -0.00949033, -0.00791443, -0.00997152, -0.00339922, -0.00909503, 0.00228374, 0.00158925, 
14.20, -0.00428159, -0.00037453, 0.00300174, 0.0068933, -0.00455838, -0.00565667, -0.00212151, -0.00415099, -0.01615904, -0.00505875, -0.00705836, -0.00383354, -0.00436404, -0.00840382, 0.00016268, -0.00128284, 
14.40, -0.00120165, 0.00076998, -0.00051435, 0.00541277, -0.00263832, -0.00457174, -0.00111978, -0.00691166, -0.01275001, -0.00523904, -0.00944486, -0.0093732, -0.00508886, -0.00952295, -0.00092626, 0.00272859, 
14.60, -0.0049135, 0.00362468, 0.00176258, 0.00443445, -0.00534784, -0.00564824, -0.00408, -0.00522765, -0.01573093, -0.0087775, -0.00872707, -0.00888236, -0.00898405, -0.00919208, -0.00073078, -0.00173797, 
14.81, -0.00382964, -0.000066, 0.00101742, 0.00736034, -0.00520416, -0.00452332, 0.00379781, -0.00447462, -0.01568651, -0.00347083, -0.00850233, -0.00690176, -0.0041889, -0.00790324, -0.00161451, 0.00214249, 
15.00, -0.00329843, 0.00018889, -0.00255985, 0.00522207, -0.00504672, -0.00437584, -0.00650963, -0.00927474, -0.01499681, -0.00638915, -0.00637979, -0.00788313, -0.0045868, -0.01137816, -0.00412649, -0.00160582, 
15.20, -0.00518458, -0.00425889, 0.00219023, 0.00686882, -0.00554949, -0.0115503, -0.0023509, -0.00556293, -0.01684804, -0.0072013, -0.00541847, -0.01144959, -0.00390783, -0.0070541, -0.00173375, 0.00360364, 
15.40, -0.00611754, -0.00264499, 0.00012806, 0.00512288, -0.00219071, -0.00402166, -0.00017428, -0.00614154, -0.01492242, -0.00593053, -0.00552349, -0.00778601, -0.00626649, -0.01015124, -0.00041326, -0.00166115, 
15.61, -0.00440607, 0.00143104, -0.00040232, 0.00902593, -0.0034519, -0.00194086, -0.00424253, -0.00634426, -0.01396059, -0.00556087, -0.0087029, -0.00945551, -0.00726173, -0.01252873, -0.0040564, -0.00120024, 
