time,raw_signal,step_time,step_type,step_number
822,-0.05759062,899.999011230469,Baseline,1
837.4,-0.05542692,899.999011230469,Baseline,1
841.8,-0.05856022,899.999011230469,Baseline,1
843.6,-0.06093241,899.999011230469,Baseline,1
846.4,-0.05683991,899.999011230469,Baseline,1
846.6,-0.06111522,899.999011230469,Baseline,1
851.4,-0.05878095,899.999011230469,Baseline,1
854.4,-0.06059331,899.999011230469,Baseline,1
854.6,-0.05928784,899.999011230469,Baseline,1
857.4,-0.05787137,899.999011230469,Baseline,1
858.2,-0.05678662,899.999011230469,Baseline,1
859.6,-0.05965824,899.999011230469,Baseline,1
859.8,-0.06103017,899.999011230469,Baseline,1
860,-0.06017599,899.999011230469,Baseline,1
860.2,-0.05966663,899.999011230469,Baseline,1
860.8,-0.0599625,899.999011230469,Baseline,1
861.4,-0.05891076,899.999011230469,Baseline,1
862.4,-0.05566487,899.999011230469,Baseline,1
865,-0.05729259,899.999011230469,Baseline,1
865.4,-0.05441851,899.999011230469,Baseline,1
867.6,-0.06354131,899.999011230469,Baseline,1
867.8,-0.06214749,899.999011230469,Baseline,1
869.4,-0.06075575,899.999011230469,Baseline,1
870.8,-0.05700616,899.999011230469,Baseline,1
871.4,-0.06004877,899.999011230469,Baseline,1
873,-0.05705583,899.999011230469,Baseline,1
873.6,-0.05837101,899.999011230469,Baseline,1
875.2,-0.05542468,899.999011230469,Baseline,1
881.2,-0.05870067,899.999011230469,Baseline,1
881.4,-0.05773544,899.999011230469,Baseline,1
883.6,-0.06153428,899.999011230469,Baseline,1
887.2,-0.06121689,899.999011230469,Baseline,1
890,-0.06035509,899.999011230469,Baseline,1
891,-0.0584611,899.999011230469,Baseline,1
892,-0.05917422,899.999011230469,Baseline,1
894.6,-0.05792036,899.999011230469,Baseline,1
899,-0.05966051,899.999011230469,Baseline,1
903.8,-0.03713077,600.000048828125,Association,2
909.8,-0.01072447,600.000048828125,Association,2
911.8,0.00313739,600.000048828125,Association,2
912.8,0.00682754,600.000048828125,Association,2
914,0.01107263,600.000048828125,Association,2
915,0.01711448,600.000048828125,Association,2
917,0.02697619,600.000048828125,Association,2
917.2,0.02767949,600.000048828125,Association,2
918.6,0.03543546,600.000048828125,Association,2
919,0.03923967,600.000048828125,Association,2
919.4,0.03708787,600.000048828125,Association,2
920,0.0384171,600.000048828125,Association,2
920.8,0.03696699,600.000048828125,Association,2
921.6,0.05166292,600.000048828125,Association,2
922,0.0516222,600.000048828125,Association,2
923.4,0.05580677,600.000048828125,Association,2
923.8,0.05216674,600.000048828125,Association,2
925.2,0.06248449,600.000048828125,Association,2
930.8,0.09713136,600.000048828125,Association,2
934.8,0.10888426,600.000048828125,Association,2
936.6,0.11741721,600.000048828125,Association,2
936.8,0.11793885,600.000048828125,Association,2
937,0.12063389,600.000048828125,Association,2
938.6,0.12112938,600.000048828125,Association,2
941.4,0.13822871,600.000048828125,Association,2
944,0.15107104,600.000048828125,Association,2
947,0.16563050000000001,600.000048828125,Association,2
947.2,0.16268061,600.000048828125,Association,2
948.2,0.16730753,600.000048828125,Association,2
949.4,0.17533824,600.000048828125,Association,2
949.6,0.16868484,600.000048828125,Association,2
955,0.19501458,600.000048828125,Association,2
956.4,0.19739179,600.000048828125,Association,2
961,0.22029462,600.000048828125,Association,2
965.2,0.23691542,600.000048828125,Association,2
968.6,0.24762955,600.000048828125,Association,2
970,0.25595143,600.000048828125,Association,2
970.8,0.26045886,600.000048828125,Association,2
975.8,0.27609411,600.000048828125,Association,2
977.4,0.2805241,600.000048828125,Association,2
978,0.28103241,600.000048828125,Association,2
979.6,0.28929079,600.000048828125,Association,2
980.6,0.29300955,600.000048828125,Association,2
985.2,0.30634892,600.000048828125,Association,2
985.4,0.30546004,600.000048828125,Association,2
985.8,0.31054237,600.000048828125,Association,2
989,0.31801096,600.000048828125,Association,2
995.4,0.33946913,600.000048828125,Association,2
997.2,0.34499016,600.000048828125,Association,2
997.8,0.34207395,600.000048828125,Association,2
1000.2,0.34923729,600.000048828125,Association,2
1003.2,0.36217797,600.000048828125,Association,2
1004.4,0.3624264,600.000048828125,Association,2
1004.6,0.36441201,600.000048828125,Association,2
1005.2,0.36662295,600.000048828125,Association,2
1006.2,0.3711648,600.000048828125,Association,2
1013.8,0.38808352,600.000048828125,Association,2
1015,0.39376193,600.000048828125,Association,2
1016.2,0.39421317,600.000048828125,Association,2
1016.6,0.39756995,600.000048828125,Association,2
1017.2,0.3997733,600.000048828125,Association,2
1020.2,0.40734228,600.000048828125,Association,2
1023,0.41071832,600.000048828125,Association,2
1027.2,0.41999114,600.000048828125,Association,2
1029.8,0.41716456,600.000048828125,Association,2
1030,0.42228329,600.000048828125,Association,2
1030.4,0.42330638,600.000048828125,Association,2
1031,0.42318967,600.000048828125,Association,2
1035.4,0.43041304,600.000048828125,Association,2
1036.4,0.43935907,600.000048828125,Association,2
1039.8,0.44317499,600.000048828125,Association,2
1040,0.44309881,600.000048828125,Association,2
1042.4,0.44845045,600.000048828125,Association,2
1043.4,0.44779235,600.000048828125,Association,2
1045,0.45476943,600.000048828125,Association,2
1046.8,0.45717698,600.000048828125,Association,2
1049.4,0.46117502,600.000048828125,Association,2
1050,0.46240231,600.000048828125,Association,2
1050.4,0.46721581,600.000048828125,Association,2
1057,0.47097233,600.000048828125,Association,2
1058.2,0.47204188,600.000048828125,Association,2
1059.4,0.47364208,600.000048828125,Association,2
1062.6,0.48076257,600.000048828125,Association,2
1063,0.48053816,600.000048828125,Association,2
1063.4,0.48179355,600.000048828125,Association,2
1066.2,0.48758024,600.000048828125,Association,2
1068.8,0.49226123,600.000048828125,Association,2
1069,0.48956001,600.000048828125,Association,2
1072.8,0.49362001,600.000048828125,Association,2
1076.2,0.49863288,600.000048828125,Association,2
1078.4,0.49948359,600.000048828125,Association,2
1081.4,0.50566947,600.000048828125,Association,2
1084.8,0.51229393,600.000048828125,Association,2
1086.4,0.50767392,600.000048828125,Association,2
1090.2,0.51424891,600.000048828125,Association,2
1093.4,0.5170542,600.000048828125,Association,2
1096,0.52358568,600.000048828125,Association,2
1101.8,0.52830613,600.000048828125,Association,2
1102,0.52824318,600.000048828125,Association,2
1103.6,0.53091383,600.000048828125,Association,2
1104.8,0.52958679,600.000048828125,Association,2
1106.2,0.53054291,600.000048828125,Association,2
1106.4,0.53436863,600.000048828125,Association,2
1108.2,0.53455138,600.000048828125,Association,2
1110.2,0.5357669,600.000048828125,Association,2
1110.8,0.53923589,600.000048828125,Association,2
1126.8,0.55279011,600.000048828125,Association,2
1127.6,0.54806966,600.000048828125,Association,2
1128.4,0.54724252,600.000048828125,Association,2
1130.4,0.55469555,600.000048828125,Association,2
1131,0.55430388,600.000048828125,Association,2
1133.4,0.55343765,600.000048828125,Association,2
1133.8,0.5593735,600.000048828125,Association,2
1134,0.55325288,600.000048828125,Association,2
1137,0.55467117,600.000048828125,Association,2
1137.6,0.55703402,600.000048828125,Association,2
1138.4,0.56015247,600.000048828125,Association,2
1139.4,0.5626297,600.000048828125,Association,2
1140.2,0.56031889,600.000048828125,Association,2
1141.2,0.55912733,600.000048828125,Association,2
1141.8,0.56017458,600.000048828125,Association,2
1142,0.55831194,600.000048828125,Association,2
1144.2,0.5582366,600.000048828125,Association,2
1150,0.56722039,600.000048828125,Association,2
1151.2,0.56423146,600.000048828125,Association,2
1151.4,0.56728637,600.000048828125,Association,2
1152.2,0.56633854,600.000048828125,Association,2
1152.6,0.57024723,600.000048828125,Association,2
1153.2,0.56750613,600.000048828125,Association,2
1154.2,0.56804085,600.000048828125,Association,2
1154.4,0.57438201,600.000048828125,Association,2
1155.4,0.56884509,600.000048828125,Association,2
1156.6,0.56875581,600.000048828125,Association,2
1158.4,0.5684427,600.000048828125,Association,2
1159.2,0.56766063,600.000048828125,Association,2
